epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,15427.3,2.04992,1.04493,0.00331,0.82219,0.58378,0.66924,0.35975,1.84377,0.92441,0.00429,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,16260.6,2.07147,1.04611,0.00329,0.82512,0.58237,0.67002,0.36152,1.84309,0.91412,0.00429,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,17324.7,2.05399,1.04211,0.00327,0.82642,0.58713,0.67264,0.36335,1.83835,0.92587,0.00426,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,17559.5,2.04328,1.03834,0.00327,0.83065,0.58786,0.67288,0.36399,1.83801,0.91508,0.00428,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,18743.5,2.05738,1.04143,0.00324,0.83436,0.58584,0.67332,0.36165,1.83962,0.91893,0.00428,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,18998,2.04287,1.03469,0.00323,0.82591,0.59166,0.6756,0.36399,1.83546,0.9112,0.00426,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,19210.6,2.04661,1.0356,0.00322,0.83062,0.58922,0.67616,0.36418,1.83833,0.9114,0.00424,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,20279.7,2.03762,1.02893,0.00323,0.82948,0.58902,0.6763,0.36511,1.83435,0.9079,0.00424,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,20511.8,2.03662,1.02881,0.0032,0.82971,0.59119,0.67835,0.36604,1.83037,0.90772,0.00423,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,21385.2,2.03151,1.03763,0.00321,0.83173,0.59365,0.67966,0.36648,1.82686,0.91637,0.00423,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,21600.3,2.01862,1.01608,0.00318,0.83228,0.59148,0.67985,0.36858,1.82592,0.9003,0.00423,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,22483,2.03454,1.02407,0.00319,0.82753,0.59778,0.68214,0.3695,1.82368,0.90297,0.00421,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,22748,2.02279,1.01594,0.00315,0.82908,0.59579,0.68302,0.36959,1.82148,0.9017,0.0042,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,22991.2,2.02736,1.01847,0.00317,0.83181,0.59589,0.683,0.36966,1.82552,0.8979,0.00421,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,23209.5,1.99908,1.00404,0.0032,0.83352,0.5963,0.68443,0.36975,1.81953,0.89578,0.0042,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,24437.6,2.0265,1.01556,0.00313,0.83276,0.59653,0.6837,0.36935,1.81665,0.90049,0.00419,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,25518.8,2.00973,1.01231,0.00318,0.83269,0.59949,0.68612,0.37066,1.81478,0.89737,0.00418,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,25789.4,2.00843,1.01012,0.00314,0.83149,0.59962,0.68527,0.37101,1.81319,0.89787,0.00418,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,26264.1,1.99728,0.99785,0.00312,0.83328,0.59937,0.68732,0.37235,1.81309,0.89418,0.00418,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,26789.2,2.00466,1.00427,0.00312,0.83854,0.59728,0.68627,0.37136,1.81585,0.89584,0.00418,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,27794.1,2.00055,1.00109,0.00312,0.83694,0.60084,0.68889,0.37307,1.81022,0.89542,0.00416,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,28025.6,2.00422,0.99665,0.0031,0.83393,0.60312,0.68995,0.37372,1.80836,0.8942,0.00416,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,28256.1,1.9811,0.98567,0.00309,0.83554,0.60292,0.68995,0.37386,1.80877,0.8915,0.00415,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,29194,1.9907,0.99667,0.00308,0.83436,0.60181,0.68955,0.3743,1.808,0.8913,0.00416,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,29406.2,1.97402,0.98213,0.0031,0.83443,0.60103,0.68912,0.37428,1.80787,0.89012,0.00415,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
